         證券代號      證券名稱
821    911612        滬安
822    911616     杜康-DR
823    911619     耀傑-DR
824    911622    泰聚亨-DR
825    911626    MSH-DR
826    911868   同方友友-DR
827    912000    晨訊科-DR
828    912398     友佳-DR
829      9136     巨騰-DR
830    913889       大成糖
831      9151        旺旺
832      9157   陽光能源-DR
833      9188     精熙-DR
834      9802     鈺齊-KY
835      9902        台火
836      9904        寶成
837      9905        大華
838      9906       欣巴巴
839      9907       統一實
840      9908       大台北
841      9910        豐泰
842      9911        櫻花
843      9912        偉聯
844      9914       美利達
845      9917        中保
846      9918       欣天然
847      9919       康那香
848      9921        巨大
849      9924        福興
850      9925        新保
851      9926        新海
852      9927        泰銘
853      9928        中視
854      9929        秋雨
855      9930      中聯資源
856      9931        欣高
857      9933        中鼎
858      9934        成霖
859      9935       慶豐富
860      9937        全國
861      9938        百和
862      9939        宏全
863      9940        信義
864      9941        裕融
865      9942        茂順
866      9943       好樂迪
867      9944        新麗
868      9945       潤泰新
869      9955        佳龍
870      9958       世紀鋼
